number,value,params_bagging_fraction,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,user_attrs_best_iterations,user_attrs_fold_rank_ic,user_attrs_mean_rank_ic,user_attrs_std_rank_ic,user_attrs_worst_rank_ic,state
0,0.010848577458493994,0.9464704583099741,0.6232334448672797,0.0008632008168602544,0.0008629132190071859,0.044635901521768134,5,299,26,"[344, 154, 1]","[0.1266262375888628, 0.00011296992935486463, -0.003449379688959766]",0.041096609276419296,0.060496063635850604,-0.003449379688959766,COMPLETE
1,0.007785082223276681,0.6733618039413735,0.6727299868828402,9.877700294007917,0.0018794668241638478,0.025529516046973785,6,914,9,"[498, 461, 1]","[0.13245506245130959, 0.002690497091081408, -0.013716259800729746]",0.04047643324722042,0.06538270204788747,-0.013716259800729746,COMPLETE
2,0.005624200940729712,0.7465447373174767,0.7168578594140873,0.4689400963537689,0.0006870101665590031,0.016738881542579662,4,119,11,"[725, 34, 1]","[0.13426366604044185, 0.0026142126575209768, -0.018585508454591847]",0.039430790081123664,0.0676131782807879,-0.018585508454591847,COMPLETE
3,0.0019056874733912252,0.6682096494749166,0.8430179407605753,0.35849855803404745,0.0001899776347411129,0.030489195547657565,5,232,12,"[284, 285, 1]","[0.13147064726703805, 0.0036050217348589726, -0.02659085116004847]",0.03616160594728285,0.06851183694778325,-0.02659085116004847,COMPLETE
4,0.011111551834892736,0.8736932106048627,0.6390688456025535,7.085721663941605,0.006724850206557251,0.044448339535094646,3,902,8,"[387, 344, 1]","[0.13641696215957846, 0.0032805487401340516, -0.007992889970235525]",0.04390154030982566,0.06557997694986585,-0.007992889970235525,COMPLETE
5,0.00262416760082098,0.7246844304357644,0.8650089137415928,28.57080075040724,0.003570095960030952,0.006622290670049679,5,55,20,"[993, 99, 1]","[0.13037475284265143, -0.0032718339164254035, -0.01879067230213412]",0.03610408220803064,0.06695982921441931,-0.01879067230213412,COMPLETE
6,0.00689654331736439,0.8391599915244341,0.9579309401710595,4.475040191350905,43.35045392775134,0.01760679402733935,6,913,18,"[731, 431, 1]","[0.12949956034300258, 0.0035156454132114785, -0.015719883389771462]",0.0390984407888142,0.06440379494289962,-0.015719883389771462,COMPLETE
7,0.013465793860779573,0.9314950036607718,0.7085396127095583,0.008953276247642715,0.021481457181982695,0.006130028679593762,8,57,31,"[777, 156, 1]","[0.12799888887836497, -0.0003587872055229024, 0.0025195310992183503]",0.04338654425735347,0.059841500793147796,-0.0003587872055229024,COMPLETE
8,0.0019248985848442299,0.908897907718663,0.9947547746402069,6.504020246676574,0.00028009403633756793,0.009547826400522689,5,76,21,"[1000, 31, 1]","[0.13005354569647437, -0.008837535625124286, -0.014986067627510197]",0.035409980814613294,0.06697016445953813,-0.014986067627510197,COMPLETE
9,0.011900043417141112,0.7433862914177091,0.6296178606936361,2.3661540064603184,4.242502238267323,0.005063981628665743,4,414,15,"[289, 156, 1]","[0.1139427690025527, 0.00044325156926743313, 0.001277180439267494]",0.038554400337029206,0.05330871383977619,0.00044325156926743313,COMPLETE
10,0.01519055373680504,0.9861140782266592,0.7649987625876573,0.00013954069808610426,0.17606111545612424,0.01155307726815254,8,140,68,"[288, 99, 1]","[0.12474535521395014, 0.0005876369595784255, 0.00613676274043255]",0.04382325163798703,0.057265395802363984,0.0005876369595784255,COMPLETE
11,0.014011877192489617,0.9869402947287328,0.7472696288603009,0.00017842251614499737,0.09140472762720156,0.00919570748559778,8,130,65,"[334, 131, 1]","[0.12489852436205322, 1.7133088247694068e-07, 0.004055213287321019]",0.042984636326752236,0.05794551826852524,1.7133088247694068e-07,COMPLETE
12,0.013245096573644248,0.9816018612211901,0.7809495485646134,0.00018938895301656513,0.14678218833234585,0.010520950307824475,8,131,72,"[519, 99, 1]","[0.12590075880633342, 0.00036161793393073364, 0.0017542427504402406]",0.04267220649690146,0.05885421984651443,0.00036161793393073364,COMPLETE
