================================================================================
因子分层回测报告（5分组，5日调仓，IC符号对齐）
================================================================================

训练集统计（按多空收益降序，ann_return 已按 IC 符号对齐）:
              factor  ann_return  sharpe  max_drawdown  turnover  monotonic_corr  ic_sign
        LOW_TURNOVER      0.4470  4.6280       -0.0629    0.4862          1.0000   1.0000
         LN_TURNOVER      0.4198  3.2595       -0.0827    0.4855         -1.0000  -1.0000
              CORR20      0.2768  4.4809       -0.0368    0.5849         -1.0000  -1.0000
            VOL_CV20      0.2604  4.4970       -0.0283    0.5127          1.0000   1.0000
      RET_AMT_CORR20      0.2426  4.3665       -0.0509    0.5278          1.0000   1.0000
              QTLD30      0.2419  2.3976       -0.0950    0.5414          0.7000   1.0000
                KLOW      0.2415  4.3535       -0.0244    0.8368         -1.0000  -1.0000
          CONSEC_UP5      0.2393  2.7204       -0.0780    0.8056          0.9000   1.0000
               VWAP0      0.2257  3.2099       -0.0730    0.8124          0.4000   1.0000
                LOW0      0.2184  3.2700       -0.0512    0.7896          0.7000   1.0000
             VSUMD30      0.2177  3.2519       -0.0870    0.7501         -0.3000  -1.0000
                REV5      0.2145  2.2944       -0.0924    0.8721          0.7000   1.0000
              CORD60      0.2115  3.5788       -0.0615    0.3180         -1.0000  -1.0000
       RET_VOL_CORR5      0.1919  3.4068       -0.0658    0.8695          1.0000   1.0000
          OBV_CHG_20      0.1916  3.2348       -0.0403    0.5496         -0.9000  -1.0000
               CORD5      0.1887  3.3338       -0.0600    0.8699         -1.0000  -1.0000
         MOM_SKIP_1W      0.1874  2.1079       -0.0655    0.5672         -0.7000  -1.0000
           AMIHUD_20      0.1833  2.7554       -0.0565    0.2319          1.0000   1.0000
             VSUMN60      0.1813  2.5478       -0.0738    0.6232          0.3000   1.0000
             VSUMN20      0.1705  2.8670       -0.0637    0.7295          0.3000   1.0000
             VSUMP10      0.1705  2.7657       -0.0648    0.7933         -0.4000  -1.0000
       VOL_OF_VOL_20      0.1647  2.7063       -0.0512    0.4939          1.0000   1.0000
           MACD_HIST      0.1527  2.1081       -0.0590    0.6316         -0.7000  -1.0000
              CORR60      0.1514  2.3754       -0.0584    0.3165         -1.0000  -1.0000
VOL_PRICE_DIVERGENCE      0.1501  2.4243       -0.0479    0.8463          1.0000   1.0000
                STD5      0.1488  1.9495       -0.0807    0.7693         -0.7000  -1.0000
               KSFT2      0.1438  2.2759       -0.0746    0.8804         -0.4000  -1.0000
              VSUMD5      0.1425  2.4742       -0.0596    0.9473         -0.4000  -1.0000
               IMIN5      0.1376  2.2380       -0.0630    0.8543          0.6000   1.0000
               GAP10      0.1295  2.6072       -0.0602    0.6385          0.4000   1.0000
     LOW_DOWN_STD_60      0.1262  1.3223       -0.0861    0.2042          0.7000   1.0000
                  BP      0.1243  1.4109       -0.1116    0.0931          1.0000   1.0000
              IMIN20      0.1229  2.0010       -0.0621    0.6843          0.3000   1.0000
                  EP      0.1196  1.9845       -0.1093    0.1008          1.0000   1.0000
      OVERNIGHT_RET5      0.1179  2.4043       -0.0486    0.8197         -0.4000  -1.0000
              IMIN10      0.1125  1.7883       -0.0693    0.8212          0.7000   1.0000
              VSUMN5      0.1113  2.0563       -0.0573    0.8931          0.3000   1.0000
              CNTD10      0.1096  1.4771       -0.1091    0.7249         -0.9000  -1.0000
                 KUP      0.1071  1.9291       -0.0752    0.8337         -0.1000  -1.0000
              IMAX60      0.1043  1.4746       -0.1000    0.4311         -0.9000  -1.0000
              RESI20      0.1000  1.2352       -0.0798    0.8290         -0.4000  -1.0000
               KDJ_J      0.0995  1.0429       -0.0979    0.8253         -0.3000  -1.0000
              WVMA30      0.0974  1.6310       -0.0483    0.4510         -1.0000  -1.0000
            MAX_DD60      0.0942  0.9810       -0.1179    0.2491         -1.0000  -1.0000
              RESI10      0.0885  1.1764       -0.1132    0.9368         -0.4000  -1.0000
              CNTD60      0.0883  1.0976       -0.0888    0.3776         -1.0000  -1.0000
          LOW_ATR_14      0.0882  1.6764       -0.1118    0.1560          0.0000   1.0000
               KLOW2      0.0784  1.5789       -0.0588    0.8638         -0.7000  -1.0000
         Q_SALES_YOY      0.0752  1.4490       -0.0531    0.1021          0.9000   1.0000
               VSTD5      0.0699  1.6638       -0.0853    0.8398         -1.0000  -1.0000
         NEG_SKEW_20      0.0657  1.2453       -0.0766    0.5634          0.9000   1.0000
              IMIN60      0.0639  0.9343       -0.0766    0.4024          0.4000   1.0000
               WVMA5      0.0473  1.2400       -0.0581    0.8340         -0.4000  -1.0000
              VSTD10      0.0349  0.7827       -0.0696    0.7728         -0.4000  -1.0000
             ROE_WAA      0.0217  0.3255       -0.1366    0.1108          0.7000   1.0000
               RESI5      0.0217  0.2793       -0.1514    0.8680         -0.3000  -1.0000
                MAX5      0.0152  0.1905       -0.1305    0.7889         -0.3000  -1.0000
      LOWER_SHADOW20     -0.0031 -0.0427       -0.1997    0.4696          0.0000   1.0000

验证集统计（按多空收益降序，ann_return 已按 IC 符号对齐）:
              factor  ann_return  sharpe  max_drawdown  turnover  monotonic_corr  ic_sign
         LN_TURNOVER      0.3682  3.3648       -0.0773    0.4936         -0.9000  -1.0000
        LOW_TURNOVER      0.3656  4.5950       -0.0478    0.4907          1.0000   1.0000
              QTLD30      0.3147  2.7483       -0.0672    0.5737          0.3000   1.0000
          CONSEC_UP5      0.2749  3.0947       -0.0692    0.8183          0.1000   1.0000
             VSUMN60      0.2692  5.9520       -0.0197    0.7026          0.3000   1.0000
              CORR20      0.2559  4.6234       -0.0158    0.5803         -1.0000  -1.0000
                REV5      0.2531  2.6057       -0.0452    0.8722          0.3000   1.0000
             VSUMN20      0.2486  4.3240       -0.0373    0.7751          0.7000   1.0000
             VSUMD30      0.2466  4.2165       -0.0317    0.7550         -0.6000  -1.0000
            VOL_CV20      0.2431  4.7219       -0.0228    0.5248          1.0000   1.0000
              IMIN10      0.2303  3.1527       -0.0227    0.8358          0.7000   1.0000
         MOM_SKIP_1W      0.2223  2.1641       -0.0702    0.5714         -0.7000  -1.0000
                LOW0      0.2193  2.9487       -0.0552    0.8298          0.0000   1.0000
             VSUMP10      0.2022  3.4912       -0.0579    0.8342         -0.7000  -1.0000
               KDJ_J      0.1972  2.4786       -0.0285    0.8627         -0.9000  -1.0000
                 KUP      0.1932  3.2839       -0.0458    0.8373         -0.4000  -1.0000
              IMIN20      0.1862  2.4734       -0.0395    0.6941          0.3000   1.0000
                STD5      0.1848  2.1686       -0.0795    0.7764          0.0000  -1.0000
          OBV_CHG_20      0.1766  2.8549       -0.0356    0.5550          0.0000  -1.0000
                KLOW      0.1765  3.5711       -0.0431    0.8527         -0.4000  -1.0000
       VOL_OF_VOL_20      0.1745  2.5570       -0.0589    0.4994          1.0000   1.0000
              CNTD10      0.1722  2.4145       -0.0339    0.7240         -0.9000  -1.0000
               IMIN5      0.1631  2.8163       -0.0279    0.8786          0.3000   1.0000
              VSUMD5      0.1513  2.7174       -0.0749    0.9427         -0.3000  -1.0000
              VSUMN5      0.1508  2.7671       -0.0735    0.9327          0.3000   1.0000
               CORD5      0.1489  3.3422       -0.0125    0.8697         -1.0000  -1.0000
              CORR60      0.1482  2.6513       -0.0356    0.3042         -1.0000  -1.0000
      RET_AMT_CORR20      0.1481  2.9367       -0.0235    0.5214          1.0000   1.0000
              RESI20      0.1443  1.7879       -0.0341    0.8276         -0.1000  -1.0000
       RET_VOL_CORR5      0.1423  3.2358       -0.0119    0.8693          1.0000   1.0000
              WVMA30      0.1421  3.3134       -0.0251    0.4729         -0.9000  -1.0000
         NEG_SKEW_20      0.1376  2.0175       -0.0479    0.5734          1.0000   1.0000
                  BP      0.1240  1.8640       -0.0392    0.0818          1.0000   1.0000
           MACD_HIST      0.1188  1.7313       -0.0512    0.6309         -0.1000  -1.0000
      OVERNIGHT_RET5      0.1182  2.7709       -0.0129    0.8291         -0.4000  -1.0000
              CORD60      0.1160  1.9571       -0.0594    0.2935         -1.0000  -1.0000
            MAX_DD60      0.1100  0.7546       -0.1531    0.2573         -0.3000  -1.0000
                  EP      0.1037  0.9938       -0.1540    0.0811          1.0000   1.0000
               KSFT2      0.1011  1.7752       -0.0385    0.8779          0.0000  -1.0000
              IMAX60      0.0960  1.3525       -0.0419    0.4463         -0.3000  -1.0000
     LOW_DOWN_STD_60      0.0945  0.6691       -0.1369    0.1896          0.9000   1.0000
VOL_PRICE_DIVERGENCE      0.0921  2.2092       -0.0222    0.8711          0.9000   1.0000
               WVMA5      0.0685  1.7003       -0.0403    0.8738         -0.7000  -1.0000
               GAP10      0.0684  1.4190       -0.0262    0.6460          0.4000   1.0000
           AMIHUD_20      0.0673  0.9696       -0.0737    0.2142          0.7000   1.0000
               VWAP0      0.0668  0.8988       -0.0619    0.8561          0.0000   1.0000
               VSTD5      0.0609  1.3831       -0.0481    0.8606         -0.7000  -1.0000
              CNTD60      0.0604  0.6930       -0.0577    0.3662         -0.4000  -1.0000
      LOWER_SHADOW20      0.0474  0.7044       -0.0444    0.5182          0.7000   1.0000
               KLOW2      0.0397  0.8408       -0.0628    0.8782         -0.7000  -1.0000
                MAX5      0.0373  0.3816       -0.0827    0.8152          0.0000  -1.0000
              RESI10      0.0308  0.3928       -0.0463    0.9352         -0.3000  -1.0000
         Q_SALES_YOY      0.0149  0.2545       -0.0824    0.0754          0.3000   1.0000
             ROE_WAA      0.0045  0.0431       -0.1826    0.0774          0.6000   1.0000
              IMIN60     -0.0062 -0.0683       -0.1358    0.4130         -0.5000   1.0000
              VSTD10     -0.0122 -0.2366       -0.0715    0.7851          0.1000  -1.0000
