================================================================================
因子分层回测报告（5分组，20日调仓，label_ret_20，IC符号对齐）
================================================================================

训练集统计（按多空收益降序，ann_return 已按 IC 符号对齐）:
              factor  ann_return  sharpe  max_drawdown  turnover  monotonic_corr  ic_sign
        LOW_TURNOVER      0.3039  3.3505       -0.0564    0.6053          1.0000   1.0000
         LN_TURNOVER      0.2848  2.4161       -0.0917    0.5986         -1.0000  -1.0000
      INTRADAY_REV10      0.2323  2.7442       -0.0355    0.8531          1.0000   1.0000
              CORD20      0.1805  3.1402       -0.0379    0.8702         -1.0000  -1.0000
      RET_AMT_CORR20      0.1692  3.2138       -0.0307    0.8672          1.0000   1.0000
          CONSEC_UP5      0.1595  2.4143       -0.0342    0.8271          0.7000   1.0000
            VOL_CV20      0.1517  3.1630       -0.0178    0.8106          1.0000   1.0000
              CORD60      0.1482  2.6941       -0.0531    0.6016         -1.0000  -1.0000
           MACD_HIST      0.1466  2.3034       -0.0348    0.8888         -0.7000  -1.0000
           MACD_LINE      0.1397  1.8873       -0.0691    0.7413         -0.9000  -1.0000
           AMIHUD_20      0.1372  2.3649       -0.0423    0.4787          1.0000   1.0000
          OBV_CHG_20      0.1327  2.3609       -0.0432    0.8525         -0.8000  -1.0000
               REV60      0.1302  1.1780       -0.0870    0.6399          0.9000   1.0000
               MIN30      0.1280  1.3253       -0.0948    0.7469          0.3000   1.0000
              IMXD10      0.1272  1.7364       -0.0551    0.8850         -0.3000  -1.0000
       RET_VOL_CORR5      0.1245  2.6426       -0.0268    0.8816          1.0000   1.0000
     LOW_DOWN_STD_60      0.1240  1.3446       -0.0754    0.4361          0.7000   1.0000
               CORD5      0.1236  2.5909       -0.0284    0.8822         -1.0000  -1.0000
              CORR60      0.1204  2.0247       -0.0479    0.6518         -1.0000  -1.0000
       VOL_OF_VOL_20      0.1170  2.1203       -0.0364    0.7480          1.0000   1.0000
VOL_PRICE_DIVERGENCE      0.1170  2.3026       -0.0298    0.8630          1.0000   1.0000
             VSUMD60      0.1156  1.8412       -0.0675    0.8143         -0.3000  -1.0000
                  BP      0.1052  1.0997       -0.1151    0.1835          1.0000   1.0000
             VSUMD20      0.0974  1.6237       -0.0511    0.9493         -0.4000  -1.0000
                KLOW      0.0957  2.0642       -0.0263    0.8471         -0.7000  -1.0000
     UP_DOWN_RATIO20      0.0951  1.4529       -0.0685    0.8319         -0.9000  -1.0000
                  EP      0.0947  1.4728       -0.1125    0.2094          0.9000   1.0000
                LOW0      0.0945  1.7803       -0.0506    0.8036          0.4000   1.0000
      OVERNIGHT_RET5      0.0881  2.4027       -0.0437    0.8448         -0.4000  -1.0000
             VSUMD10      0.0877  1.7097       -0.0448    0.8959         -0.3000  -1.0000
              IMIN10      0.0873  1.4928       -0.0512    0.8612          0.3000   1.0000
               QTLD5      0.0773  1.1511       -0.0768    0.8236          0.3000   1.0000
       AMOUNT_TREND5      0.0767  1.3059       -0.0587    0.8036         -0.1000  -1.0000
               VMA60      0.0762  1.2532       -0.0588    0.8068          0.1000   1.0000
            MAX_DD60      0.0753  0.8197       -0.1290    0.5375         -0.9000  -1.0000
             VSUMN60      0.0738  1.2035       -0.0694    0.7491          0.3000   1.0000
       CURRENT_RATIO      0.0735  1.6435       -0.0295    0.1308         -1.0000  -1.0000
               GAP10      0.0718  1.9279       -0.0230    0.8327          0.4000   1.0000
                 KUP      0.0715  1.3190       -0.0652    0.8461         -0.3000  -1.0000
         NEG_SKEW_20      0.0705  1.5383       -0.0553    0.8810          0.9000   1.0000
               VSTD5      0.0679  1.8473       -0.0296    0.8426         -0.9000  -1.0000
          LOW_ATR_14      0.0668  1.4109       -0.1154    0.3102          0.0000   1.0000
               CNTD5      0.0634  1.1899       -0.0558    0.8871         -0.9000  -1.0000
              IMIN20      0.0634  1.1310       -0.0766    0.8693          0.4000   1.0000
              RESI20      0.0620  0.8440       -0.1343    0.8714         -0.3000  -1.0000
               KSFT2      0.0617  1.2474       -0.0348    0.8812         -0.1000  -1.0000
             VSUMN10      0.0600  1.2215       -0.0511    0.8404          0.1000   1.0000
         Q_SALES_YOY      0.0598  0.9812       -0.0559    0.2515          0.9000   1.0000
              CNTD60      0.0576  0.7044       -0.1149    0.6231         -0.9000  -1.0000
               VWAP0      0.0556  1.0616       -0.0617    0.8197          0.4000   1.0000
              VSUMD5      0.0538  1.0972       -0.0422    0.8902         -0.4000  -1.0000
              IMIN60      0.0516  0.7144       -0.0674    0.7508          0.4000   1.0000
              WVMA20      0.0487  1.0550       -0.0415    0.8279         -0.4000  -1.0000
              VSTD10      0.0457  1.0978       -0.0472    0.8352         -0.6000  -1.0000
              CNTN30      0.0392  0.5286       -0.1067    0.7406          0.3000   1.0000
               IMIN5      0.0383  0.7518       -0.0550    0.8532          0.1000   1.0000
              WVMA10      0.0368  1.0074       -0.0534    0.8314         -0.5000  -1.0000
             ROE_YOY      0.0348  0.7666       -0.0783    0.2401          0.9000   1.0000
                 ROE      0.0088  0.1139       -0.1715    0.2448          0.7000   1.0000
      LOWER_SHADOW20      0.0057  0.0893       -0.1376    0.7644          0.1000   1.0000
      UPPER_SHADOW10      0.0042  0.1062       -0.0713    0.8019         -0.3000  -1.0000
               MAX10      0.0032  0.0329       -0.1665    0.8047         -0.3000  -1.0000
              RESI10     -0.0100 -0.1590       -0.1470    0.8723          0.3000  -1.0000

验证集统计（按多空收益降序，ann_return 已按 IC 符号对齐）:
              factor  ann_return  sharpe  max_drawdown  turnover  monotonic_corr  ic_sign
        LOW_TURNOVER      0.2630  3.3321       -0.0435    0.6243          1.0000   1.0000
         LN_TURNOVER      0.2280  1.8531       -0.0982    0.6052         -0.9000  -1.0000
              IMIN10      0.1610  2.0725       -0.0174    0.8765          0.9000   1.0000
             VSUMN10      0.1486  4.7570       -0.0065    0.8885          0.7000   1.0000
               REV60      0.1478  1.7167       -0.0302    0.6268          0.6000   1.0000
             VSUMD10      0.1426  4.2459       -0.0065    0.8986         -0.7000  -1.0000
      INTRADAY_REV10      0.1388  2.3885       -0.0181    0.8653          0.1000   1.0000
          CONSEC_UP5      0.1387  1.8827       -0.0454    0.8512          0.3000   1.0000
                LOW0      0.1331  3.1085       -0.0139    0.8539          0.1000   1.0000
              IMXD10      0.1265  2.2299       -0.0198    0.8776         -0.6000  -1.0000
               IMIN5      0.1248  2.0473       -0.0143    0.8733          0.7000   1.0000
             VSUMN60      0.1247  2.1414       -0.0172    0.8297          0.2000   1.0000
             VSUMD60      0.1209  2.0107       -0.0236    0.8388         -0.5000  -1.0000
       AMOUNT_TREND5      0.1205  3.3545       -0.0122    0.8721         -0.7000  -1.0000
            MAX_DD60      0.1175  0.9719       -0.1062    0.5615         -0.9000  -1.0000
               MIN30      0.1153  1.2751       -0.0262    0.7930          0.0000   1.0000
                 KUP      0.1147  2.0940       -0.0414    0.8531         -0.4000  -1.0000
               VMA60      0.1066  1.7695       -0.0173    0.8293          0.4000   1.0000
           MACD_LINE      0.1041  1.5814       -0.0284    0.7271         -0.1000  -1.0000
          OBV_CHG_20      0.1000  1.8573       -0.0289    0.8309         -0.9000  -1.0000
               QTLD5      0.0974  1.6535       -0.0372    0.8697          0.3000   1.0000
     LOW_DOWN_STD_60      0.0948  0.6858       -0.1252    0.4369          0.8000   1.0000
                  BP      0.0940  1.4953       -0.0419    0.1531          0.9000   1.0000
             VSUMD20      0.0934  2.0101       -0.0197    0.9489         -0.2000  -1.0000
              WVMA20      0.0902  1.9537       -0.0234    0.8751         -0.7000  -1.0000
            VOL_CV20      0.0898  1.9580       -0.0251    0.8482          1.0000   1.0000
              CORD60      0.0845  0.9462       -0.1035    0.5864         -1.0000  -1.0000
              VSUMD5      0.0830  2.5656       -0.0167    0.8899         -0.3000  -1.0000
              CORR60      0.0796  1.5253       -0.0378    0.6474         -0.5000  -1.0000
VOL_PRICE_DIVERGENCE      0.0786  1.8857       -0.0326    0.8793          0.7000   1.0000
              WVMA10      0.0772  1.7457       -0.0130    0.8761         -0.9000  -1.0000
      OVERNIGHT_RET5      0.0751  2.2341       -0.0094    0.8492         -0.4000  -1.0000
       CURRENT_RATIO      0.0746  0.9988       -0.0626    0.0888         -1.0000  -1.0000
         NEG_SKEW_20      0.0731  1.6732       -0.0298    0.8826          0.4000   1.0000
               CORD5      0.0685  1.1641       -0.0599    0.8799         -0.9000  -1.0000
              IMIN20      0.0676  0.9818       -0.0325    0.8780          0.6000   1.0000
       RET_VOL_CORR5      0.0628  1.1170       -0.0557    0.8797          0.6000   1.0000
                  EP      0.0619  0.5404       -0.1520    0.1711          1.0000   1.0000
              RESI20      0.0599  0.8672       -0.0943    0.8722          0.0000  -1.0000
             ROE_YOY      0.0597  1.0599       -0.0276    0.2345          0.9000   1.0000
               GAP10      0.0560  1.7529       -0.0148    0.8329          0.4000   1.0000
                KLOW      0.0527  0.8365       -0.0377    0.8607         -0.3000  -1.0000
              CORD20      0.0514  0.6461       -0.0927    0.8626         -0.7000  -1.0000
               VSTD5      0.0488  1.0774       -0.0349    0.8700         -0.9000  -1.0000
              RESI10      0.0467  0.5818       -0.0395    0.8720         -0.1000  -1.0000
              CNTN30      0.0461  0.8723       -0.0292    0.7593          0.6000   1.0000
       VOL_OF_VOL_20      0.0456  0.5685       -0.0842    0.7354          0.9000   1.0000
           AMIHUD_20      0.0442  0.5035       -0.0888    0.4543          0.3000   1.0000
           MACD_HIST      0.0418  0.9106       -0.0389    0.8743         -0.1000  -1.0000
              CNTD60      0.0395  0.6411       -0.0573    0.6079         -0.1000  -1.0000
     UP_DOWN_RATIO20      0.0380  0.6678       -0.0297    0.8692         -0.4000  -1.0000
      RET_AMT_CORR20      0.0379  0.5017       -0.0858    0.8620          1.0000   1.0000
              IMIN60      0.0296  0.4219       -0.0563    0.7429          0.8000   1.0000
         Q_SALES_YOY      0.0246  0.3569       -0.0776    0.2597          0.7000   1.0000
               CNTD5      0.0198  0.3971       -0.0376    0.8870         -0.1000  -1.0000
               MAX10      0.0155  0.1738       -0.0809    0.8258         -0.3000  -1.0000
      UPPER_SHADOW10      0.0145  0.2433       -0.0707    0.8657         -0.4000  -1.0000
               VWAP0      0.0099  0.1659       -0.0582    0.8595          0.1000   1.0000
              VSTD10      0.0067  0.1454       -0.0444    0.8660         -0.3000  -1.0000
      LOWER_SHADOW20      0.0059  0.0786       -0.0774    0.8292          0.6000   1.0000
               KSFT2      0.0056  0.1139       -0.0583    0.8837          0.0000  -1.0000
                 ROE     -0.0021 -0.0164       -0.1748    0.2254          0.6000   1.0000
          LOW_ATR_14     -0.0312 -0.3619       -0.0809    0.2840         -0.7000   1.0000
