======================================================================
因子冗余剔除报告（日频 IC 相关性）
阈值: 相关 > 0.7 即剔除 | 因子总数: 270
|IC| ≥ 0.01 过滤: 剔除 32 个低信号因子
ICIR > 0.05 过滤: 剔除 0 个不稳定因子
======================================================================

各环节漏斗统计:
----------------------------------------------------------------------
  环节                                过滤数      剩余数
----------------------------------------------------------------------
  ① 初始因子                                   -      270
  ② |IC| < 0.01 过滤（低信号）         32      238
  ③ |ICIR| < 0.05 过滤（不稳定）          0      238
  ④ 冗余剔除（相关 > 0.7）        180       58
  ⑤ 最终保留                                    -       58

----------------------------------------------------------------------
保留因子: 58 个 (21.5%)
剔除因子: 180 个（冗余剔除 75.6%）

----------------------------------------------------------------------
保留因子（按 IC 降序）:
----------------------------------------------------------------------
  LOW_TURNOVER             IC=+0.0776  ICIR=+0.9833
  CONSEC_UP5               IC=+0.0612  ICIR=+0.9062
  QTLD30                   IC=+0.0541  ICIR=+0.6306
  RET_AMT_CORR20           IC=+0.0525  ICIR=+0.9984
  LOW0                     IC=+0.0494  ICIR=+0.8091
  VOL_CV20                 IC=+0.0487  ICIR=+0.8715
  LOW_DOWN_STD_60          IC=+0.0435  ICIR=+0.4480
  REV5                     IC=+0.0420  ICIR=+0.4986
  VOL_OF_VOL_20            IC=+0.0418  ICIR=+0.7509
  RET_VOL_CORR5            IC=+0.0405  ICIR=+0.7272
  VSUMN60                  IC=+0.0373  ICIR=+0.6009
  VOL_PRICE_DIVERGENCE     IC=+0.0352  ICIR=+0.5654
  VSUMN20                  IC=+0.0349  ICIR=+0.6803
  EP                       IC=+0.0323  ICIR=+0.6009
  NEG_SKEW_20              IC=+0.0318  ICIR=+0.6199
  BP                       IC=+0.0310  ICIR=+0.3452
  VWAP0                    IC=+0.0307  ICIR=+0.4890
  AMIHUD_20                IC=+0.0286  ICIR=+0.4301
  GAP10                    IC=+0.0225  ICIR=+0.5289
  VSUMN5                   IC=+0.0207  ICIR=+0.4371
  LOW_ATR_14               IC=+0.0206  ICIR=+0.3693
  IMIN5                    IC=+0.0203  ICIR=+0.3599
  IMIN20                   IC=+0.0199  ICIR=+0.3512
  IMIN10                   IC=+0.0186  ICIR=+0.3355
  Q_SALES_YOY              IC=+0.0126  ICIR=+0.2451
  ROE_WAA                  IC=+0.0121  ICIR=+0.1758
  IMIN60                   IC=+0.0111  ICIR=+0.1685
  LOWER_SHADOW20           IC=+0.0103  ICIR=+0.1305
  KLOW2                    IC=-0.0101  ICIR=-0.2070
  WVMA5                    IC=-0.0120  ICIR=-0.3030
  RESI5                    IC=-0.0127  ICIR=-0.1861
  VSTD10                   IC=-0.0127  ICIR=-0.3014
  CNTD60                   IC=-0.0143  ICIR=-0.2067
  MAX5                     IC=-0.0168  ICIR=-0.2125
  WVMA30                   IC=-0.0177  ICIR=-0.3199
  CNTD10                   IC=-0.0181  ICIR=-0.2882
  VSTD5                    IC=-0.0208  ICIR=-0.4966
  RESI10                   IC=-0.0210  ICIR=-0.3016
  OVERNIGHT_RET5           IC=-0.0213  ICIR=-0.5263
  RESI20                   IC=-0.0219  ICIR=-0.2929
  KDJ_J                    IC=-0.0236  ICIR=-0.2396
  IMAX60                   IC=-0.0238  ICIR=-0.3356
  KSFT2                    IC=-0.0252  ICIR=-0.3792
  VSUMD5                   IC=-0.0269  ICIR=-0.5252
  CORR60                   IC=-0.0281  ICIR=-0.4988
  MACD_HIST                IC=-0.0290  ICIR=-0.4923
  OBV_CHG_20               IC=-0.0301  ICIR=-0.5198
  KUP                      IC=-0.0316  ICIR=-0.6613
  MOM_SKIP_1W              IC=-0.0333  ICIR=-0.4159
  VSUMP10                  IC=-0.0338  ICIR=-0.6079
  CORD5                    IC=-0.0414  ICIR=-0.7355
  MAX_DD60                 IC=-0.0415  ICIR=-0.4439
  CORD60                   IC=-0.0435  ICIR=-0.7850
  VSUMD30                  IC=-0.0441  ICIR=-0.7807
  KLOW                     IC=-0.0459  ICIR=-0.9694
  CORR20                   IC=-0.0484  ICIR=-0.8597
  STD5                     IC=-0.0486  ICIR=-0.6528
  LN_TURNOVER              IC=-0.0815  ICIR=-0.6636

----------------------------------------------------------------------
剔除因子（冗余明细）:
----------------------------------------------------------------------
  STD_RET_20               IC=+0.0667  与 LOW_TURNOVER 相关 0.770 (该因子 IC=+0.0776)
  STD_RET_10               IC=+0.0656  与 LOW_TURNOVER 相关 0.776 (该因子 IC=+0.0776)
  LOW_ATR_PCT_14           IC=+0.0645  与 LOW_TURNOVER 相关 0.768 (该因子 IC=+0.0776)
  STD_RET_60               IC=+0.0600  与 LOW_TURNOVER 相关 0.719 (该因子 IC=+0.0776)
  STD_RET_5                IC=+0.0571  与 LOW_TURNOVER 相关 0.748 (该因子 IC=+0.0776)
  INTRADAY_REV10           IC=+0.0538  与 QTLD30 相关 0.836 (该因子 IC=+0.0541)
  REV20                    IC=+0.0536  与 QTLD30 相关 0.907 (该因子 IC=+0.0541)
  CONSEC_UP3               IC=+0.0531  与 CONSEC_UP5 相关 0.875 (该因子 IC=+0.0612)
  MIN30                    IC=+0.0526  与 QTLD30 相关 0.895 (该因子 IC=+0.0541)
  MIN20                    IC=+0.0526  与 QTLD30 相关 0.888 (该因子 IC=+0.0541)
  RET_VOL_CORR20           IC=+0.0519  与 RET_AMT_CORR20 相关 0.996 (该因子 IC=+0.0525)
  LOW_RANGE_20             IC=+0.0517  与 LOW_TURNOVER 相关 0.721 (该因子 IC=+0.0776)
  QTLD60                   IC=+0.0516  与 QTLD30 相关 0.916 (该因子 IC=+0.0541)
  QTLD20                   IC=+0.0514  与 QTLD30 相关 0.963 (该因子 IC=+0.0541)
  MIN5                     IC=+0.0512  与 CONSEC_UP5 相关 0.810 (该因子 IC=+0.0612)
  MA30                     IC=+0.0506  与 QTLD30 相关 0.949 (该因子 IC=+0.0541)
  MIN10                    IC=+0.0505  与 CONSEC_UP5 相关 0.813 (该因子 IC=+0.0612)
  MIN60                    IC=+0.0505  与 QTLD30 相关 0.795 (该因子 IC=+0.0541)
  INTRADAY_REV5            IC=+0.0494  与 CONSEC_UP5 相关 0.734 (该因子 IC=+0.0612)
  ROC20                    IC=+0.0486  与 QTLD30 相关 0.929 (该因子 IC=+0.0541)
  MA60                     IC=+0.0486  与 QTLD30 相关 0.907 (该因子 IC=+0.0541)
  VOL_CV10                 IC=+0.0472  与 VOL_CV20 相关 0.879 (该因子 IC=+0.0487)
  RET_AMT_CORR10           IC=+0.0470  与 RET_AMT_CORR20 相关 0.812 (该因子 IC=+0.0525)
  RET_VOL_CORR10           IC=+0.0465  与 RET_AMT_CORR20 相关 0.805 (该因子 IC=+0.0525)
  MA20                     IC=+0.0465  与 QTLD30 相关 0.915 (该因子 IC=+0.0541)
  ROC30                    IC=+0.0463  与 QTLD30 相关 0.896 (该因子 IC=+0.0541)
  QTLD10                   IC=+0.0455  与 QTLD30 相关 0.824 (该因子 IC=+0.0541)
  REV10                    IC=+0.0450  与 QTLD30 相关 0.834 (该因子 IC=+0.0541)
  VMA60                    IC=+0.0409  与 QTLD30 相关 0.711 (该因子 IC=+0.0541)
  QTLU30                   IC=+0.0404  与 QTLD30 相关 0.855 (该因子 IC=+0.0541)
  QTLD5                    IC=+0.0396  与 REV5 相关 0.813 (该因子 IC=+0.0420)
  ROC10                    IC=+0.0396  与 QTLD30 相关 0.875 (该因子 IC=+0.0541)
  QTLU60                   IC=+0.0395  与 QTLD30 相关 0.866 (该因子 IC=+0.0541)
  REV60                    IC=+0.0394  与 QTLD30 相关 0.752 (该因子 IC=+0.0541)
  MA10                     IC=+0.0386  与 REV5 相关 0.938 (该因子 IC=+0.0420)
  LOW_DOWN_STD_20          IC=+0.0382  与 LOW_DOWN_STD_60 相关 0.936 (该因子 IC=+0.0435)
  LOW_RANGE_60             IC=+0.0378  与 LOW_DOWN_STD_60 相关 0.886 (该因子 IC=+0.0435)
  SUMN20                   IC=+0.0371  与 QTLD30 相关 0.874 (该因子 IC=+0.0541)
  LOW_DOWN_STD_10          IC=+0.0367  与 LOW_DOWN_STD_60 相关 0.874 (该因子 IC=+0.0435)
  ROC60                    IC=+0.0365  与 QTLD30 相关 0.751 (该因子 IC=+0.0541)
  SUMN30                   IC=+0.0365  与 QTLD30 相关 0.824 (该因子 IC=+0.0541)
  ROC5                     IC=+0.0360  与 REV5 相关 0.975 (该因子 IC=+0.0420)
  QTLU20                   IC=+0.0357  与 REV5 相关 0.825 (该因子 IC=+0.0420)
  VSUMN30                  IC=+0.0351  与 VSUMN60 相关 0.765 (该因子 IC=+0.0373)
  VMA30                    IC=+0.0337  与 VSUMN20 相关 0.850 (该因子 IC=+0.0349)
  MA5                      IC=+0.0319  与 REV5 相关 0.880 (该因子 IC=+0.0420)
  SUMN60                   IC=+0.0309  与 VSUMN60 相关 0.701 (该因子 IC=+0.0373)
  VMA20                    IC=+0.0275  与 VSUMN20 相关 0.759 (该因子 IC=+0.0349)
  SUMN10                   IC=+0.0273  与 QTLD30 相关 0.836 (该因子 IC=+0.0541)
  QTLU10                   IC=+0.0268  与 REV5 相关 0.906 (该因子 IC=+0.0420)
  SUMN5                    IC=+0.0262  与 REV5 相关 0.878 (该因子 IC=+0.0420)
  WILLR_28                 IC=+0.0260  与 QTLD30 相关 0.840 (该因子 IC=+0.0541)
  LOW_DOWN_STD_5           IC=+0.0255  与 LOW_DOWN_STD_60 相关 0.767 (该因子 IC=+0.0435)
  OPEN0                    IC=+0.0248  与 VWAP0 相关 0.826 (该因子 IC=+0.0307)
  VSUMN10                  IC=+0.0243  与 VSUMN20 相关 0.729 (该因子 IC=+0.0349)
  VSTD60                   IC=+0.0234  与 VSUMN20 相关 0.731 (该因子 IC=+0.0349)
  GAP5                     IC=+0.0213  与 GAP10 相关 0.815 (该因子 IC=+0.0225)
  SP                       IC=+0.0212  与 BP 相关 0.955 (该因子 IC=+0.0310)
  QTLU5                    IC=+0.0208  与 REV5 相关 0.828 (该因子 IC=+0.0420)
  VMA10                    IC=+0.0199  与 VSUMN5 相关 0.880 (该因子 IC=+0.0207)
  WILLR_14                 IC=+0.0192  与 QTLD30 相关 0.749 (该因子 IC=+0.0541)
  IMIN30                   IC=+0.0155  与 IMIN20 相关 0.815 (该因子 IC=+0.0199)
  CNTN5                    IC=+0.0148  与 REV5 相关 0.817 (该因子 IC=+0.0420)
  VMA5                     IC=+0.0141  与 VSUMN5 相关 0.762 (该因子 IC=+0.0207)
  CNTN20                   IC=+0.0136  与 QTLD30 相关 0.789 (该因子 IC=+0.0541)
  ROE                      IC=+0.0118  与 ROE_WAA 相关 0.979 (该因子 IC=+0.0121)
  CNTN30                   IC=+0.0114  与 QTLD30 相关 0.743 (该因子 IC=+0.0541)
  CNTN10                   IC=+0.0113  与 QTLD30 相关 0.753 (该因子 IC=+0.0541)
  MAX10                    IC=-0.0144  与 REV5 相关 0.745 (该因子 IC=+0.0420)
  WVMA60                   IC=-0.0147  与 LOWER_SHADOW20 相关 0.719 (该因子 IC=+0.0103)
  WVMA10                   IC=-0.0179  与 WVMA5 相关 0.725 (该因子 IC=-0.0120)
  CNTP60                   IC=-0.0182  与 CNTD60 相关 0.883 (该因子 IC=-0.0143)
  CNTD30                   IC=-0.0186  与 CNTD60 相关 0.843 (该因子 IC=-0.0143)
  HIGH0                    IC=-0.0188  与 MAX5 相关 0.777 (该因子 IC=-0.0168)
  WVMA20                   IC=-0.0193  与 WVMA30 相关 0.881 (该因子 IC=-0.0177)
  CNTD20                   IC=-0.0210  与 CNTD10 相关 0.842 (该因子 IC=-0.0181)
  CNTD5                    IC=-0.0211  与 CNTD10 相关 0.812 (该因子 IC=-0.0181)
  CNTP10                   IC=-0.0219  与 CNTD10 相关 0.959 (该因子 IC=-0.0181)
  PSY_12                   IC=-0.0223  与 CNTD10 相关 0.917 (该因子 IC=-0.0181)
  OVERNIGHT_RET10          IC=-0.0225  与 OVERNIGHT_RET5 相关 0.815 (该因子 IC=-0.0213)
  CNTP30                   IC=-0.0226  与 CNTD60 相关 0.789 (该因子 IC=-0.0143)
  STD60                    IC=-0.0229  与 MAX5 相关 0.713 (该因子 IC=-0.0168)
  PSY_24                   IC=-0.0240  与 CNTD10 相关 0.765 (该因子 IC=-0.0181)
  IMXD60                   IC=-0.0244  与 IMAX60 相关 0.817 (该因子 IC=-0.0238)
  UP_DOWN_RATIO20          IC=-0.0246  与 CNTD10 相关 0.803 (该因子 IC=-0.0181)
  CNTP20                   IC=-0.0246  与 CNTD10 相关 0.799 (该因子 IC=-0.0181)
  CNTP5                    IC=-0.0248  与 CNTD10 相关 0.766 (该因子 IC=-0.0181)
  AMOUNT_TREND5            IC=-0.0253  与 KDJ_J 相关 0.726 (该因子 IC=-0.0236)
  KMID2                    IC=-0.0255  与 KSFT2 相关 0.896 (该因子 IC=-0.0252)
