factor,gain,split
QM_DS_LIQUIDITY_AMPLIFICATION_TURNOVER_RETVOL_WINSOR_Z_SIZE_NEUTRAL,1139.7466675044525,569
LN_TURNOVER,1115.276234419507,571
NEG_SKEW_20,966.3285111347213,284
LOW_TURNOVER,951.842694735853,309
RET_VOL_CORR5,449.86638869206945,475
OBV_CHG_20,355.0305390080475,412
QM_COMPOSITE_QUALITY_LOW_CROWDING_LOWVOL30_WINSOR_Z_SIZE_NEUTRAL,318.58853687517694,299
MAX_DD60_V2,277.33075794712204,331
KLOW,224.7051998806237,289
QM_COMPOSITE_QUALITY_LOW_CROWDING_LOWVOL_WINSOR_Z_SIZE_NEUTRAL,223.4578181183897,207
CORR20,221.3585760834676,285
QM_DS_IND_RESID_VOL_20_WINSOR_Z_SIZE_NEUTRAL,216.66950571880443,416
RET_AMT_CORR20,185.13802423830202,312
CORD5,161.77077130251564,264
VOL_PRICE_DIVERGENCE,130.18462100913166,165
QM_DS_IDIOVOL_60D_WINSOR_Z_SIZE_NEUTRAL,126.85834598082874,352
IMAX60,121.20177395271457,416
VOL_CV20,120.94574040611042,343
CONSEC_UP5,105.73300694156933,238
VOL_OF_VOL_20,102.34080913463731,185
Q_SALES_YOY,94.35321521598962,406
EP,61.23375779399066,310
CNTD10,53.869608290067845,215
WVMA30,51.314169802411925,244
VSTD5,26.279158275683585,180
CORD60,20.196226952277357,68
CORR60,18.24282013232005,121
CNTD60,18.227313808049075,116
BP,15.079912545654224,125
AMIHUD_20,12.945719156588893,112
