factor,gain,split
QM_DS_LIQUIDITY_AMPLIFICATION_TURNOVER_RETVOL_WINSOR_Z_SIZE_NEUTRAL,961.7364674822893,307
LOW_TURNOVER,759.40303266712,190
CONSEC_UP5,658.6402875863714,367
LN_TURNOVER,621.2416477748484,412
MAX_DD60_V2,242.95636139038834,288
OBV_CHG_20,237.30401839196566,371
NEG_SKEW_20,236.69307925202884,143
QM_COMPOSITE_QUALITY_LOW_CROWDING_LOWVOL_WINSOR_Z_SIZE_NEUTRAL,217.18290152214468,158
QM_COMPOSITE_QUALITY_LOW_CROWDING_LOWVOL30_WINSOR_Z_SIZE_NEUTRAL,179.63004920142703,165
QM_DS_IND_RESID_VOL_20_WINSOR_Z_SIZE_NEUTRAL,175.26303306641057,326
RET_VOL_CORR5,164.45621205680072,283
VOL_PRICE_DIVERGENCE,147.57574616896454,201
CORR20,126.26513279648498,257
IMAX60,107.59679109090939,301
KLOW,105.41865304624662,173
RET_AMT_CORR20,103.05936790606938,262
CORD5,99.21301852038596,164
VOL_CV20,90.01328236900736,267
Q_SALES_YOY,88.50788071635179,239
QM_DS_IDIOVOL_60D_WINSOR_Z_SIZE_NEUTRAL,82.69111593774869,216
CORR60,70.99890219932422,254
VOL_OF_VOL_20,55.487683199258754,244
EP,47.33856440591626,140
WVMA30,34.2718301655259,175
VSTD5,31.932260044995928,214
BP,31.5495264584315,140
CNTD10,27.47972456784919,144
AMIHUD_20,23.715104232309386,98
CORD60,16.926420630596112,61
CNTD60,9.74605242232792,83
